推: 5,噓: 1,分數: 4,作者: HTC92 (中国台湾人的驕傲-92共識),標題: [問卦] 2024年春晚吉祥物,時間: Fri Dec 15 23:21:52 2023,5,1
推: 5,噓: 1,分數: 4,作者: chadmu (噓之收集者查德姆),標題: [問卦] 央視獨家：機場歡迎人群熱情迎候習近平,時間: Sat Dec 16 00:29:37 2023,5,1
推: 3,噓: 0,分數: 3,作者: redDest (紅油),標題: [問卦] 妹妹拿我的護唇膏擦肛唇怎麼辦,時間: Sat Dec 16 00:25:52 2023,3,0
推: 2,噓: 6,分數: -4,作者: sharkpops (T-Rex),標題: [問卦] 猴選之猴會不會也會引發討論？,時間: Sat Dec 16 00:36:25 2023,2,6
推: 4,噓: 4,分數: 0,作者: U384 (皮皮),標題: [問卦] 被告過失傷害怎麼辦？,時間: Fri Dec 15 20:56:21 2023,4,4
推: 2,噓: 0,分數: 2,作者: XX9 (又又丸),標題: [問卦] 今天開始加強學英文來得及嗎?,時間: Fri Dec 15 22:49:35 2023,2,0
推: 6,噓: 1,分數: 5,作者: stock5566 (股神56),標題: [問卦] 誰被抓到呼麻你不意外?,時間: Fri Dec 15 20:42:52 2023,6,1
推: 4,噓: 1,分數: 3,作者: whiteadam (blue eyes blue),標題: [問卦] 當虛竹比較爽 還是當段譽?,時間: Sat Dec 16 00:09:36 2023,4,1
推: 22,噓: 3,分數: 19,作者: nobody0303 (),標題: [問卦] 沒人發現不斷錯過房價上車點感覺很幹嗎！,時間: Sat Dec 16 00:46:19 2023,22,3
推: 7,噓: 1,分數: 6,作者: MeiHS (簽名檔詳見 其他版晃到，),標題: [問卦] 窩同學說:房間充滿魷魚味 是啥意思?,時間: Sat Dec 16 01:31:18 2023,7,1
推: 1,噓: 1,分數: 0,作者: er2 (LED topic),標題: [問卦] 台灣五虎將是誰,時間: Fri Dec 15 21:43:19 2023,1,1
推: 33,噓: 130,分數: -97,作者: humbler (獸人H),標題: [新聞] 花敬群：沒看到地方積極推社宅,時間: Fri Dec 15 20:50:29 2023,33,130
推: 0,噓: 0,分數: 0,作者: DCHC (純愛基本教義派♥),標題: Re: [問卦] 軍武板立場一面倒是怎樣啊,時間: Fri Dec 15 21:54:28 2023,0,0
